Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706190341.384269149;1547.081055;2499.149902;190.362000;4236.592773
1;1706190341.404333663;1588.718018;2504.818115;191.845001;4285.380859
2;1706190341.424393687;1541.067993;2503.239014;188.552002;4232.858887
3;1706190341.444453830;1550.152954;2503.406006;188.569000;4242.127930
4;1706190341.464513494;1577.484985;2500.695068;189.449997;4267.629883
5;1706190341.484573938;1542.162964;2499.958984;188.496994;4230.619141
6;1706190341.504633702;1560.635986;2499.110107;188.630997;4248.376953
7;1706190341.524693455;1560.302002;2498.366943;189.403000;4248.072266
8;1706190341.544753499;1581.208008;2497.518066;188.302002;4267.028320
9;1706190341.564813303;1543.449951;2499.211914;187.417999;4230.080078
10;1706190341.584873657;1570.243042;2501.542969;188.207001;4259.993164
11;1706190341.604933810;1572.057983;2501.737061;188.505005;4262.300293
12;1706190341.624994034;1526.692993;2499.908936;188.613998;4215.215820
13;1706190341.645053558;1538.676025;2499.194092;189.496002;4227.366211
14;1706190341.665113161;1565.838989;2505.030029;191.908997;4262.777832
15;1706190341.685173485;1541.808960;2497.396973;188.613998;4227.819824
16;1706190341.705233029;1551.395996;2496.600098;185.244003;4233.240234
17;1706190341.725292883;1552.212036;2500.695068;187.371994;4240.279297
18;1706190341.745353256;1571.243042;2497.437988;187.326996;4256.007812
19;1706190341.765413260;1547.401001;2499.196045;188.552002;4235.148926
20;1706190341.785473404;1556.860962;2498.349121;188.552002;4243.762207
21;1706190341.805533828;1563.405029;2500.695068;189.403000;4253.502930
22;1706190341.825594101;1535.875977;2499.149902;188.505005;4223.530762
23;1706190341.845654365;1545.677002;2500.759033;188.552002;4234.988281
24;1706190341.865714169;1566.697021;2498.502930;193.718994;4258.918945
25;1706190341.885774123;1572.494019;2499.893066;187.356003;4259.743164
26;1706190341.905834216;1535.495972;2501.604980;188.613998;4225.714844
27;1706190341.925894030;1562.604980;2500.207031;187.386993;4250.199219
28;1706190341.945954394;1575.251953;2500.951904;187.419006;4263.623047
29;1706190341.966014028;1544.041016;2501.589111;188.505005;4234.135254
30;1706190341.986073921;1556.720947;2500.907959;188.552002;4246.180664
31;1706190342.006134575;1551.338013;2503.364990;189.498001;4244.201172
32;1706190342.026194389;1577.444946;2499.972900;188.537994;4265.956055
33;1706190342.046254853;1543.996948;2501.790039;188.600006;4234.387207
34;1706190342.066315276;1555.885986;2497.437988;188.552002;4241.875977
35;1706190342.086374890;1576.494995;2504.050049;191.830002;4272.375000
36;1706190342.106434654;1530.607056;2500.695068;188.537003;4219.839355
