Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706201643.942234869;1846.416992;2559.981934;194.587997;4600.986816
1;1706201643.962299000;1569.038940;2562.312012;193.705002;4325.056152
2;1706201643.982357831;1536.521973;2559.113037;190.065002;4285.700195
3;1706201644.002416532;1549.235962;2559.068115;191.292007;4299.596191
4;1706201644.022475952;1575.727051;2561.397949;192.509003;4329.633789
5;1706201644.042534283;1575.415039;2559.885010;190.380005;4325.680176
6;1706201644.062592704;1533.171997;2553.163086;190.380005;4276.714844
7;1706201644.082652004;1550.339966;2557.400879;191.261002;4299.001953
8;1706201644.102710165;1581.141968;2559.866943;194.507996;4335.517090
9;1706201644.122769646;1545.307007;2564.793945;192.445007;4302.545898
10;1706201644.142828676;1567.069946;2557.397949;190.410004;4314.877930
11;1706201644.162888127;1571.147949;2559.034912;190.065002;4320.248047
12;1706201644.182947358;1588.229980;2557.447021;191.244003;4336.920898
13;1706201644.203006418;1554.943970;2564.028076;194.556000;4313.527832
14;1706201644.223065019;1568.293945;2559.885010;190.363007;4318.541992
15;1706201644.243123280;1577.572021;2554.810059;191.261002;4323.643066
16;1706201644.263181810;1542.203979;2559.768066;193.298004;4295.270020
17;1706201644.283240711;1549.739014;2554.038086;185.919006;4289.696289
18;1706201644.303299462;1565.046997;2563.211914;191.643005;4319.901855
19;1706201644.323358442;1570.262939;2559.019043;192.173004;4321.455078
20;1706201644.343417723;1536.556030;2557.400879;191.261002;4285.217773
21;1706201644.363476734;1568.671997;2556.572021;190.363007;4315.606934
22;1706201644.383536264;1585.587036;2551.564941;187.115005;4324.267090
23;1706201644.403595085;1535.699951;2558.551025;190.427002;4284.677734
24;1706201644.423653616;1545.181030;2557.351074;190.410004;4292.941895
25;1706201644.443713446;1557.900024;2556.606934;190.065002;4304.571777
26;1706201644.463772037;1593.171997;2553.114990;189.220993;4335.507812
27;1706201644.483830608;1549.352051;2558.769043;190.363007;4298.484375
28;1706201644.503889838;1558.896973;2560.715088;192.408997;4312.020996
29;1706201644.523948919;1583.670044;2558.168945;190.363007;4332.202148
30;1706201644.544007880;1551.780029;2556.472900;190.410004;4298.663086
31;1706201644.564066910;1562.738037;2554.205078;187.951996;4304.895020
32;1706201644.584125811;1561.151978;2557.400879;190.065002;4308.617676
33;1706201644.604184242;1590.609985;2559.019043;190.410004;4340.039062
34;1706201644.624242972;1560.167969;2559.866943;191.195999;4311.230957
35;1706201644.644301883;1570.672974;2558.854980;190.410004;4319.937988
36;1706201644.664361334;1577.597046;2557.400879;190.363007;4325.360840
37;1706201644.684419794;1554.881958;2557.397949;190.410004;4302.689941
38;1706201644.704479475;1561.182007;2559.916992;190.363007;4311.461914
39;1706201644.724538446;1561.667969;2557.418945;189.214005;4308.300781
40;1706201644.744597676;1549.489990;2555.628906;193.658005;4298.776855
41;1706201644.764657187;1560.838013;2559.037109;191.261002;4311.136230
42;1706201644.784716298;1565.187988;2559.885010;190.410004;4315.482910
43;1706201644.804775499;1586.904053;2559.037109;192.173004;4338.114258
44;1706201644.824834369;1553.410034;2559.992920;190.427002;4303.830078
45;1706201644.844892990;1557.602051;2559.037109;190.410004;4307.048828
46;1706201644.864952360;1578.604004;2558.105957;191.212997;4327.922852
47;1706201644.885011771;1552.057007;2558.950928;190.065002;4301.072754
48;1706201644.905071072;1557.452026;2558.451904;190.378998;4306.282715
49;1706201644.925130273;1573.504028;2562.510010;193.705002;4329.719238
50;1706201644.945198864;1603.723999;2560.814941;190.410004;4354.948730
51;1706201644.965265926;1779.430054;2559.701904;193.658005;4532.790039
52;1706201644.985330637;1784.395996;2560.833008;190.065002;4535.293945
53;1706201645.005395208;1810.234009;2560.812988;191.261002;4562.308105
54;1706201645.025460179;1740.461060;2557.333008;190.410004;4488.204102
55;1706201645.045527541;1771.698975;2557.272949;190.410004;4519.381836
56;1706201645.065605633;1776.770020;2560.814941;190.065002;4527.649902
57;1706201645.085667964;1798.824951;2558.187012;191.278000;4548.290039
58;1706201645.105756128;1828.156006;2558.266113;191.261002;4577.683105
59;1706201645.125829210;1869.430054;2555.739990;191.246994;4616.416992
60;1706201645.145920784;1885.691040;2562.394043;192.203995;4640.289062
61;1706201645.165987075;1760.578003;2559.034912;190.332001;4509.944824
62;1706201645.186046546;1752.508057;2558.266113;190.410004;4501.184082
63;1706201645.206124158;1763.499023;2561.593018;193.673004;4518.765137
64;1706201645.226184689;1781.823975;2559.194092;190.345993;4531.364258
65;1706201645.246244660;1746.077026;2564.110107;193.688004;4503.875000
66;1706201645.266314232;1775.020020;2559.816895;191.199005;4526.036133
67;1706201645.286390014;1910.246948;2559.864990;190.065002;4660.176758
68;1706201645.306470857;1877.420044;2562.529053;190.363007;4630.312012
69;1706201645.326546819;1898.074951;2557.373047;191.261002;4646.708984
70;1706201645.346611010;1771.621948;2562.460938;191.212997;4525.295898
71;1706201645.366685892;1759.753052;2559.037109;189.199997;4507.990234
72;1706201645.386766215;1892.874023;2556.424072;190.348007;4639.645996
73;1706201645.406857319;1893.395996;2561.618896;190.307999;4645.323242
74;1706201645.426947592;1917.520020;2560.814941;189.214005;4667.548828
75;1706201645.447027255;2116.095947;2561.565918;194.556000;4872.217773
76;1706201645.467100537;1789.852051;2556.674072;189.214005;4535.740234
77;1706201645.487160108;1754.199951;2560.812988;190.410004;4505.422852
78;1706201645.507253142;1838.854004;2561.864014;192.475006;4593.193359
79;1706201645.527350426;1883.175049;2559.136963;190.410004;4632.721680
80;1706201645.547441670;1906.930054;2561.644043;191.292007;4659.866211
81;1706201645.567531434;1938.461060;2555.084961;187.145004;4680.690918
82;1706201645.587602436;1926.808960;2560.833008;191.261002;4678.902832
83;1706201645.607668217;1866.469971;2560.747070;189.214005;4616.431152
84;1706201645.627731628;1831.666992;5895.403809;187.966003;7915.036621
85;1706201645.647791299;1902.030029;5506.792969;191.261002;7600.083984
86;1706201645.667851109;1922.050049;5299.115234;191.311996;7412.477539
87;1706201645.687910240;1914.870972;5812.658203;194.589005;7922.118164
88;1706201645.707970861;1974.854004;5193.867188;190.444000;7359.165039
89;1706201645.728031172;1904.260986;6215.608887;190.410004;8310.280273
90;1706201645.748092693;1890.937988;5742.571777;192.285004;7825.794922
91;1706201645.768152683;1880.821045;5293.946777;189.229996;7363.998047
92;1706201645.788212624;1900.776978;5572.117188;192.175995;7665.069824
93;1706201645.808272115;1979.637939;5298.607910;191.261002;7469.506836
94;1706201645.828331806;1921.167969;6231.871094;191.302002;8344.340820
95;1706201645.848390716;1937.204956;5900.344238;190.440994;8027.990234
96;1706201645.868451067;1917.064941;5341.146973;190.113998;7448.325684
97;1706201645.888510268;1941.911987;5442.098145;191.339005;7575.349121
98;1706201645.908570239;1903.704956;5825.581055;190.429993;7919.716309
99;1706201645.928629819;1853.442993;6227.648926;190.397003;8271.489258
100;1706201645.948689740;1904.277954;5878.549805;191.292007;7974.119629
101;1706201645.968749981;1903.852051;5769.626953;190.475006;7863.954102
102;1706201645.988810542;1828.985962;5371.350098;190.033005;7390.369141
103;1706201646.008870322;1931.501953;5751.720215;191.375000;7874.597168
104;1706201646.028930613;1960.885010;5341.334961;190.951004;7493.170898
105;1706201646.048990514;1959.067017;5698.372070;190.492004;7847.931152
106;1706201646.069051035;1874.812988;5772.870117;193.658005;7841.341309
107;1706201646.089110656;1946.529053;6107.543945;194.604996;8248.677734
108;1706201646.109170496;1928.784058;5522.816895;190.444000;7642.044922
109;1706201646.129230227;1874.819946;5516.973145;190.410004;7582.203125
110;1706201646.149290388;1849.489990;5429.425781;192.541000;7471.457031
