Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706289294.074433627;1853.845947;2549.767090;189.403000;4593.016113
1;1706289294.098506102;1539.827026;2552.284912;191.261002;4283.373047
2;1706289294.122565175;1552.842041;2550.724121;189.513000;4293.079102
3;1706289294.146624429;1548.147949;2555.062012;191.246994;4294.457031
4;1706289294.170683493;1531.135010;2550.676025;190.410004;4272.220703
5;1706289294.194742366;1531.707031;2556.496094;193.705002;4281.908203
6;1706289294.218801320;1553.876953;2553.298096;189.167007;4296.341797
7;1706289294.242860534;1551.701050;2550.657959;191.322006;4293.681152
8;1706289294.266920147;1552.062012;2547.449951;187.115005;4286.626953
9;1706289294.290979631;1539.192017;2549.811035;191.212997;4280.215820
10;1706289294.315038515;1560.838013;2557.343994;193.360001;4311.541992
11;1706289294.339097689;1539.628052;2551.592041;189.197006;4280.416992
12;1706289294.363157232;1541.843994;2552.351074;190.393005;4284.587891
13;1706289294.387216666;1530.667969;2557.343994;194.556000;4282.567871
14;1706289294.411275700;1559.083008;2548.781006;190.410004;4298.273926
15;1706289294.435334383;1537.439941;2547.288086;190.345993;4275.074219
16;1706289294.459393137;1528.590942;2551.253906;191.212997;4271.057617
17;1706289294.483451851;1547.645996;2554.031006;190.363007;4292.040039
18;1706289294.507511234;1546.413940;2553.972900;193.626999;4294.013672
19;1706289294.531570318;1529.637939;2554.731934;194.556000;4278.925781
20;1706289294.555628882;1540.496948;2553.124023;192.807007;4286.428223
21;1706289294.579687635;1534.552002;2549.048096;189.496002;4273.096191
22;1706289294.603746929;1543.838013;2547.294922;189.466995;4280.600098
23;1706289294.627806343;1547.832031;2551.485107;189.451996;4288.769043
24;1706289294.651865266;1530.282959;2549.722900;190.427002;4270.432617
25;1706289294.675924980;1540.505981;2549.789062;190.065002;4280.359863
26;1706289294.699983604;1556.095947;2548.142090;185.854996;4290.092773
27;1706289294.724043197;1551.550049;2546.584961;185.037003;4283.171875
28;1706289294.748101831;1542.541992;2551.403076;191.278000;4285.223145
29;1706289294.772161275;1573.202026;2549.645020;189.104996;4311.952148
30;1706289294.796219808;1546.218018;2549.895020;190.410004;4286.522949
31;1706289294.820279182;1531.645020;2549.079102;191.292007;4272.016113
32;1706289294.844338216;1548.615967;2551.502930;190.410004;4290.528809
33;1706289294.868397089;1554.312012;2549.895020;189.182999;4293.390137
34;1706289294.892455633;1555.421997;2549.971924;190.363007;4295.756836
35;1706289294.916514347;1550.394043;2549.048096;190.410004;4289.852051
36;1706289294.940572770;1543.016968;2551.485107;190.393005;4284.895020
37;1706289294.964631454;1553.475952;2549.727051;189.449997;4292.652832
38;1706289294.988690008;1557.797974;2545.558105;189.214005;4292.570312
39;1706289295.012750012;1549.514038;2549.048096;190.348999;4288.911133
40;1706289295.036809966;1549.514038;2556.331055;197.837006;4303.682129
41;1706289295.060868090;1568.135986;2550.594971;189.985992;4308.716797
42;1706289295.084936326;1674.037964;2546.489014;190.315002;4410.841797
43;1706289295.109005191;1773.833008;2555.627930;193.675003;4523.135742
44;1706289295.133069186;1765.192017;2551.437012;191.212997;4507.841797
45;1706289295.157136231;1765.602051;2549.789062;191.007996;4506.399414
46;1706289295.181206977;1764.084961;2549.802002;193.722000;4507.608887
47;1706289295.205275202;1736.890015;2549.149902;190.393005;4476.433105
48;1706289295.229339687;1740.031982;2549.806885;191.195999;4481.035156
49;1706289295.253404432;1756.608032;2548.981934;189.511993;4495.102051
50;1706289295.277481909;1860.151001;2551.502930;191.322006;4602.976074
51;1706289295.301547974;1733.871948;2548.958984;189.496002;4472.327148
52;1706289295.325608919;1730.326050;2549.030029;190.363007;4469.719238
53;1706289295.349669603;1748.277954;2552.351074;191.278000;4491.907227
54;1706289295.373730508;1739.306030;2553.133057;190.410004;4482.849121
55;1706289295.397791202;1733.331055;2546.423096;190.410004;4470.164062
56;1706289295.421852217;1736.770996;2552.333008;191.261002;4480.365234
57;1706289295.445912642;1749.969971;2549.558105;190.363007;4489.891113
58;1706289295.469974566;1740.654053;2557.275879;193.722000;4491.651855
59;1706289295.494035101;1735.251953;2555.829102;193.658005;4484.739258
60;1706289295.518097406;1734.250000;2549.837891;190.423996;4474.511719
61;1706289295.542157930;1746.718018;2553.183105;190.315002;4490.215820
62;1706289295.566219515;1732.423950;2559.003906;192.809006;4484.236816
63;1706289295.590279960;1737.112061;2553.183105;189.496002;4479.791016
64;1706289295.614341745;1732.541016;2555.781006;190.317001;4478.638672
65;1706289295.638403079;1751.995972;2548.208008;185.020996;4485.225098
66;1706289295.662466124;1735.848022;2550.656982;190.080994;4476.585938
67;1706289295.686528929;1734.239990;2549.740967;190.363007;4474.343750
68;1706289295.710590664;1733.235962;2546.440918;191.195999;4470.873047
69;1706289295.734652288;1747.618042;2549.879883;190.427002;4487.924805
70;1706289295.758714723;1733.395020;2552.267090;190.048004;4475.709961
71;1706289295.782777728;1734.230957;2556.476074;193.360001;4484.067383
72;1706289295.806840253;1735.764038;2547.170898;189.464996;4472.399902
73;1706289295.830901958;1747.855957;2549.740967;189.214005;4486.811035
74;1706289295.854964272;1736.118042;2551.437012;190.380005;4477.935059
75;1706289295.879026357;1739.739990;2549.789062;190.363007;4479.892090
76;1706289295.903087962;1738.305054;2551.502930;190.363007;4480.170898
77;1706289295.927150567;1750.159058;2551.485107;190.393005;4492.037109
78;1706289295.951211441;1739.687988;2547.335938;189.511993;4476.536133
79;1706289295.975275616;1728.663940;2553.193115;193.658005;4475.515137
80;1706289295.999335461;1725.937012;2550.648926;193.690994;4470.276855
81;1706289296.023395196;1741.510010;2552.324951;194.335007;4488.169922
82;1706289296.047454011;1731.405029;2555.647949;192.492004;4479.544922
83;1706289296.071513697;1723.173950;2553.085938;192.516006;4468.775879
84;1706289296.095573362;1723.900024;2549.740967;190.427002;4464.067871
85;1706289296.119632817;1804.435059;2548.981934;190.410004;4543.827148
86;1706289296.143695843;1789.755005;2551.533936;190.457993;4531.747070
87;1706289296.167791082;1868.425049;2551.468018;190.393997;4610.287109
88;1706289296.191868369;1750.836060;2551.502930;190.412994;4492.751953
89;1706289296.215930384;1785.343994;2548.093018;190.410004;4523.846680
90;1706289296.239991270;1737.274048;2547.251953;190.298996;4474.825195
91;1706289296.264051435;1739.306030;2548.016113;191.246994;4478.569336
92;1706289296.288112511;1737.051025;2549.678955;190.334000;4477.063965
93;1706289296.312173616;1747.077026;2552.284912;188.268997;4487.630859
