Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706285244.462487834;1819.988037;2391.897949;193.705002;4405.590820
1;1706285244.486549404;1529.286987;2389.468994;191.278000;4110.034180
2;1706285244.510609464;1553.197021;2386.987061;189.229996;4129.414062
3;1706285244.534668464;1544.066040;2387.264893;188.300003;4119.630859
4;1706285244.558728984;1532.286011;2387.185059;190.410004;4109.880859
5;1706285244.582787784;1538.312012;2389.531006;190.410004;4118.252930
6;1706285244.606848574;1545.015991;2387.447998;190.380005;4122.844238
7;1706285244.630908094;1528.942017;2386.968994;190.363007;4106.273926
8;1706285244.654969394;1542.102051;2386.076904;190.300995;4118.479980
9;1706285244.679030304;1549.524048;2386.121094;189.464996;4125.110352
10;1706285244.703089444;1553.572021;2385.291016;190.410004;4129.272949
11;1706285244.727150305;1539.316040;2384.662109;189.419998;4113.397949
12;1706285244.751209104;1536.936035;2388.112061;189.511993;4114.560059
13;1706285244.775269765;1529.787964;2388.665039;190.363007;4108.815918
14;1706285244.799329195;1545.362061;2384.724121;190.427002;4120.513184
15;1706285244.823389305;1534.734985;2388.782959;188.268997;4111.787109
16;1706285244.847448265;1531.135010;2390.478027;193.593994;4115.207031
17;1706285244.871509075;1555.041992;2390.281982;194.556000;4139.879883
18;1706285244.895569675;1555.947998;2387.264893;191.261002;4134.473633
19;1706285244.919629965;1526.895020;2390.498047;193.705002;4111.098145
20;1706285244.943688635;1550.307983;2390.281982;193.705002;4134.294922
21;1706285244.967747825;1569.473999;2386.601074;189.214005;4145.289062
22;1706285244.991807005;1555.937988;2389.935059;192.695999;4138.569336
23;1706285245.015865636;1543.563965;2384.724121;189.214005;4117.501953
24;1706285245.039924867;1532.859985;2388.214111;191.024002;4112.098145
25;1706285245.063983809;1566.936035;2387.957031;192.759995;4147.653320
26;1706285245.088043031;1551.683960;2384.425049;189.464996;4125.574219
27;1706285245.112102273;1531.662964;2384.662109;192.237000;4108.562012
28;1706285245.136161984;1549.871948;2387.264893;189.511993;4126.648926
29;1706285245.160220586;1568.417969;2387.110107;193.705002;4149.233398
30;1706285245.184279128;1539.322021;2390.281982;191.563995;4121.167969
31;1706285245.208338029;1527.250000;2390.263916;193.722000;4111.235840
32;1706285245.232397171;1545.586060;2386.324951;192.792999;4124.704102
33;1706285245.256456273;1562.472046;2386.844971;192.455994;4141.772949
34;1706285245.280515575;1531.118042;2386.925049;189.496002;4107.539062
35;1706285245.304574716;1544.425049;2387.202881;189.214005;4120.841797
36;1706285245.328634338;1540.495972;2386.138916;190.410004;4117.044922
37;1706285245.352693950;1546.685059;2386.906982;189.511993;4123.104004
38;1706285245.376752862;1532.608032;2391.406982;192.839005;4116.854004
39;1706285245.400811883;1552.343994;2385.573975;190.363007;4128.281250
40;1706285245.424871195;1551.865967;2389.531006;189.229996;4130.626953
41;1706285245.448930757;1552.817993;2384.724121;190.393005;4127.935059
42;1706285245.473000629;1698.634033;2384.600098;189.449997;4272.684082
43;1706285245.497067522;1770.678955;2385.229004;189.529007;4345.437012
44;1706285245.521129984;1772.734009;2386.014893;190.348007;4349.096680
45;1706285245.545204387;1762.050049;2386.417969;189.167007;4337.634766
46;1706285245.569270259;1757.323975;2388.683105;190.410004;4336.416992
47;1706285245.593348162;1741.645996;2386.395996;190.348007;4318.389648
48;1706285245.617411245;1648.319946;2390.378906;189.464996;4228.164062
49;1706285245.641474617;1556.391968;2391.167969;192.509003;4140.068848
50;1706285245.665537639;1550.090942;2386.138916;189.511993;4125.741699
51;1706285245.689599191;1547.748047;2387.873047;190.410004;4126.031250
52;1706285245.713660523;1541.649048;2388.714111;189.542999;4119.906250
53;1706285245.737696522;1550.973999;2391.227051;190.410004;4132.610840
54;1706285245.761759434;1549.258057;2384.644043;190.395996;4124.297852
