Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706284841.855451934;1839.956055;2371.643066;189.419998;4401.019043
1;1706284841.879515629;1531.040039;2374.405029;192.791000;4098.236328
2;1706284841.903575324;1534.365967;2374.149902;192.791000;4101.306641
3;1706284841.927645760;1545.526001;2371.934082;189.449005;4106.909180
4;1706284841.951705525;1530.098999;2370.989014;189.511993;4090.600098
5;1706284841.975764660;1528.280029;2372.041016;190.363007;4090.684082
6;1706284841.999824205;1537.614014;2372.856934;191.626999;4102.097656
7;1706284842.023883401;1552.219971;2373.339111;189.434006;4114.993164
8;1706284842.047942347;1541.687988;2373.418945;189.511993;4104.619141
9;1706284842.072000823;1531.167969;2371.256104;190.363007;4092.787109
10;1706284842.096060259;1540.534058;2374.287109;188.300003;4103.121094
11;1706284842.120119585;1553.901978;2371.211914;189.449005;4114.562988
12;1706284842.144178321;1533.360962;2375.197021;190.363007;4098.920898
13;1706284842.168237038;1540.524048;2373.517090;189.511993;4103.553223
14;1706284842.192296384;1533.534058;2371.478027;188.332001;4093.344238
15;1706284842.216354910;1535.699951;2372.772949;193.658005;4102.130859
16;1706284842.240413776;1530.322021;2371.705078;189.511993;4091.539062
17;1706284842.264472802;1543.248047;2378.694092;192.776993;4114.719238
18;1706284842.288532018;1527.099976;2373.339111;188.315994;4088.754883
19;1706284842.312590954;1550.833984;2374.267090;189.511993;4114.613281
20;1706284842.336650531;1544.104004;2373.517090;191.322006;4108.943359
21;1706284842.360709237;1528.125000;2372.887939;189.511993;4090.524902
22;1706284842.384767613;1534.858032;2369.396973;188.300003;4092.555176
23;1706284842.408826219;1537.057007;2373.457031;189.481995;4099.996094
24;1706284842.432885645;1527.364990;2375.197021;188.285004;4090.846924
25;1706284842.456944371;1523.706055;2376.687988;192.727005;4093.121094
26;1706284842.481003527;1543.776978;2372.059082;189.449005;4105.285156
27;1706284842.505062254;1551.766968;2370.261963;192.220001;4114.249023
28;1706284842.529121830;1541.442017;2369.965088;189.511993;4100.918945
29;1706284842.553181086;1543.822021;2373.438965;188.268997;4105.530273
30;1706284842.577240812;1524.552002;2366.934082;189.511993;4080.998047
31;1706284842.601299808;1540.786011;2373.499023;190.126007;4104.411133
32;1706284842.625358804;1526.394043;2372.509033;190.315002;4089.218018
33;1706284842.649418041;1543.037964;2373.339111;190.410004;4106.787109
34;1706284842.673477387;1537.968994;2367.766113;189.498001;4095.233154
35;1706284842.697536293;1541.097046;2371.211914;189.464996;4101.773926
36;1706284842.721594659;1532.852051;2371.705078;189.496002;4094.053223
37;1706284842.745653325;1534.223022;2369.459961;190.363007;4094.045898
38;1706284842.769688399;1564.407959;2373.457031;188.315994;4126.180664
39;1706284842.793748865;1552.219971;2372.000977;189.449005;4113.669922
40;1706284842.817809051;1545.637939;2373.626953;189.449997;4108.714844
41;1706284842.841867668;1548.667969;2374.366943;190.363007;4113.397949
42;1706284842.865930714;1631.094971;2372.121094;189.182999;4192.399414
43;1706284842.890001161;1773.397949;2371.843994;188.253998;4333.496094
44;1706284842.914064868;1763.871948;2369.562012;189.464996;4322.898926
45;1706284842.938135535;1731.038940;2373.418945;190.347000;4294.804688
46;1706284842.962203372;1770.702026;2375.215088;190.347000;4336.264160
47;1706284842.986272720;1755.276001;2370.384033;191.259995;4316.919922
48;1706284843.010337246;1729.279053;2372.949951;190.410004;4292.638672
49;1706284843.034399524;1717.935059;2372.059082;189.464996;4279.458984
50;1706284843.058461882;1751.781006;2374.551025;189.496002;4315.828125
51;1706284843.082536811;1806.442017;2372.490967;191.261002;4370.193848
52;1706284843.106616891;1834.067993;2373.814941;189.464996;4397.348145
53;1706284843.130685819;1753.800049;2375.416016;191.595001;4320.811035
54;1706284843.154747057;1749.937012;2375.117920;191.563995;4316.619141
55;1706284843.178807824;1737.280029;2372.999023;188.347000;4298.625977
56;1706284843.202869602;1730.453003;2373.752930;188.268997;4292.475098
