Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706284914.088010584;1794.287964;2539.631104;189.464996;4523.384277
1;1706284914.112072851;1540.985962;2534.631104;189.513000;4265.129883
2;1706284914.136131258;1537.123047;2534.564941;189.511993;4261.200195
3;1706284914.160189415;1533.209961;2535.373047;189.511993;4258.094727
4;1706284914.184248662;1542.834961;2538.821045;190.348007;4272.003906
5;1706284914.208308059;1541.655029;2537.086914;189.119003;4267.860840
6;1706284914.232366966;1540.494019;2533.739990;190.317001;4264.550781
7;1706284914.256426623;1538.312012;2536.445068;189.511993;4264.269043
8;1706284914.280485429;1540.635986;2536.404053;189.496002;4266.536133
9;1706284914.304545046;1549.100952;2540.315918;191.563995;4280.980957
10;1706284914.328603963;1545.454956;2539.721924;192.792999;4277.969727
11;1706284914.352662630;1549.296997;2537.172119;190.016998;4276.486328
12;1706284914.376721687;1546.421021;2541.343018;189.119003;4276.882812
13;1706284914.400781104;1544.926025;2539.674072;191.563995;4276.164062
14;1706284914.424839981;1528.441040;2540.745117;189.466003;4258.652344
15;1706284914.448898368;1543.917969;2537.371094;189.511993;4270.800781
16;1706284914.472957634;1562.920044;2539.900879;189.449997;4292.270996
17;1706284914.497015921;1546.985962;2534.648926;191.322006;4272.957031
18;1706284914.521074338;1537.562012;2536.445068;190.410004;4264.416992
19;1706284914.545132915;1542.225952;2533.802002;190.410004;4266.437988
20;1706284914.569191742;1549.654053;2538.065918;188.347000;4276.066895
21;1706284914.593250569;1543.072021;2541.263916;193.705002;4278.041016
22;1706284914.617308905;1532.004028;2538.816895;189.214005;4260.035156
23;1706284914.641367422;1544.316040;2541.312012;192.759995;4278.388184
24;1706284914.665426889;1537.402954;2537.968994;189.511993;4264.883789
25;1706284914.689485206;1544.104004;2538.883057;189.511993;4272.499023
26;1706284914.713543853;1540.180054;2544.639893;192.759995;4277.580078
27;1706284914.737602590;1535.756958;2538.893066;192.792007;4267.441895
28;1706284914.761661336;1555.468018;2537.189941;189.529007;4282.187012
29;1706284914.785687640;1536.095947;2535.324951;190.363007;4261.784180
30;1706284914.809747917;1544.204956;2534.586914;190.334000;4269.125977
31;1706284914.833808714;1531.630005;2539.533936;192.807007;4263.970703
32;1706284914.857869441;1558.479004;2529.659912;186.169998;4274.308594
33;1706284914.881929188;1546.130005;2532.955078;189.529007;4268.614258
34;1706284914.905989225;1527.946045;2538.121094;189.529007;4255.596191
35;1706284914.930049082;1529.276978;2534.648926;189.167007;4253.092773
36;1706284914.954109999;1542.468018;2534.583008;189.481995;4266.533203
37;1706284914.978170116;1547.151978;2540.415039;193.705002;4281.271973
38;1706284915.002230283;1527.531006;2538.121094;189.529007;4255.181152
39;1706284915.026290741;1532.668945;2536.316895;189.403000;4258.388672
40;1706284915.050351779;1560.505005;2537.187012;189.481995;4287.173828
41;1706284915.074411826;1526.739014;2537.933105;189.511993;4254.184082
42;1706284915.098483225;1746.738037;2541.268066;193.641006;4481.647461
43;1706284915.122549333;1769.770020;2540.318115;192.695999;4502.784180
44;1706284915.146612852;1775.381958;2541.427002;188.302002;4505.110840
45;1706284915.170682630;1729.512939;2542.177979;193.705002;4465.395996
46;1706284915.194756689;1754.215942;2540.579102;190.427002;4485.222168
47;1706284915.218823698;1736.401978;2536.628906;188.315994;4461.346680
48;1706284915.242887096;1725.625000;2538.717041;188.332001;4452.673828
49;1706284915.266949824;1625.291992;2536.940918;188.253998;4350.486816
50;1706284915.291014802;1737.870972;2537.976074;192.494003;4468.340820
51;1706284915.315076950;1549.750000;2539.739990;192.807007;4282.296875
52;1706284915.339140808;1569.719971;2536.343018;191.244003;4297.306641
53;1706284915.363205556;1552.307983;2537.124023;189.464996;4278.896973
54;1706284915.387268944;1541.887939;2538.883057;189.496002;4270.267090
55;1706284915.411334003;1565.343018;2532.871094;188.268997;4286.483398
56;1706284915.435396331;1581.072021;2538.816895;190.363007;4310.251953
57;1706284915.459457688;1554.386963;2537.086914;189.481995;4280.956055
