Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706285010.394189972;1804.946045;2367.822998;191.039993;4363.809082
1;1706285010.418253919;1529.442993;2370.957031;189.464996;4089.865234
2;1706285010.442315655;1538.805054;2375.117920;192.807007;4106.729980
3;1706285010.466375001;1532.537964;2368.591064;189.466995;4090.596191
4;1706285010.490433807;1538.599976;2370.396973;189.511993;4098.508789
5;1706285010.514494054;1533.359985;2369.217041;189.511993;4092.088867
6;1706285010.538554420;1525.397949;2376.813965;191.610992;4093.822998
7;1706285010.562615196;1528.786011;2372.749023;191.554001;4093.088867
8;1706285010.586675323;1549.968994;2373.376953;189.466995;4112.812988
9;1706285010.610736069;1525.708008;2370.895020;190.378998;4086.981934
10;1706285010.634796735;1533.524048;2371.273926;188.332001;4093.129883
11;1706285010.658857582;1525.334961;2371.822998;189.511993;4086.669922
12;1706285010.682916888;1555.407959;2367.805908;190.347000;4113.560547
13;1706285010.706977534;1526.404053;2368.732910;190.410004;4085.546875
14;1706285010.731036931;1536.244995;2371.927002;188.315994;4096.487793
15;1706285010.755096487;1528.819946;2370.062988;188.253998;4087.136719
16;1706285010.779156983;1538.232056;2373.523926;191.546997;4103.302734
17;1706285010.803217869;1543.124023;2366.170898;188.332001;4097.626953
18;1706285010.827278186;1541.396973;2368.715088;189.464996;4099.577148
19;1706285010.851336372;1541.886963;2371.742920;189.466995;4103.096680
20;1706285010.875395178;1555.094971;2364.167969;186.216995;4105.479980
21;1706285010.899454184;1534.583984;2371.576904;189.449997;4095.610840
22;1706285010.923512650;1527.250000;2369.518066;188.302002;4085.070068
23;1706285010.947571636;1528.130005;2369.500000;189.511993;4087.142090
24;1706285010.971632453;1557.137939;2371.576904;189.449997;4118.165039
25;1706285010.995691239;1539.147949;2375.354004;192.807007;4107.309082
26;1706285011.019750195;1529.475952;2371.760986;189.518997;4090.755859
27;1706285011.043808852;1541.517944;2366.751953;187.115005;4095.384766
28;1706285011.067867788;1554.916016;2369.518066;188.300003;4112.734375
29;1706285011.091926425;1544.932983;2367.804932;188.285004;4101.022949
30;1706285011.115985001;1542.659058;2368.729980;189.529007;4100.917969
31;1706285011.140043518;1525.910034;2375.458984;189.518997;4090.888184
32;1706285011.164102424;1553.725952;2370.047119;189.464996;4113.238281
33;1706285011.188162241;1542.287964;2371.117920;191.610992;4105.017090
34;1706285011.212222598;1566.602051;2371.238037;194.490005;4132.330078
35;1706285011.236281624;1543.406006;2373.499023;189.464996;4106.370117
36;1706285011.260340751;1535.004028;2367.805908;189.403000;4092.212891
37;1706285011.284399147;1542.061035;2372.788086;186.169998;4101.019043
38;1706285011.308457774;1543.602051;2375.117920;191.580002;4110.299805
39;1706285011.332517860;1523.010010;2371.270996;189.496002;4083.777100
40;1706285011.356576787;1555.446045;2369.217041;189.464996;4114.127930
41;1706285011.380635853;1542.921997;2374.405029;189.182999;4106.510254
42;1706285011.404709491;1742.086060;2377.282959;188.315994;4307.685059
43;1706285011.428777169;1780.543945;2367.018066;189.151001;4336.712891
