Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706201403.048759502;1799.680054;2544.222900;190.322006;4534.225098
1;1706201403.068822383;1565.118042;2547.829102;190.380005;4303.327148
2;1706201403.088881494;1559.334961;2539.564941;191.322006;4290.221680
3;1706201403.108940414;1581.802002;2533.903076;189.511993;4305.216797
4;1706201403.128999885;1548.154053;2538.865967;189.214005;4276.234375
5;1706201403.149059216;1557.577026;2539.628906;191.261002;4288.466797
6;1706201403.169118397;1572.348999;2537.172119;189.464996;4298.986328
7;1706201403.189177597;1542.718018;2539.613037;190.365997;4272.697266
8;1706201403.209236978;1556.609985;2543.053955;188.300003;4287.963867
9;1706201403.229296159;1567.358032;2541.260986;190.410004;4299.028809
10;1706201403.249355040;1541.172974;2539.631104;189.481995;4270.286133
11;1706201403.269414510;1545.451050;2537.770996;189.511993;4272.733887
12;1706201403.289473761;1559.310059;2541.180908;189.449997;4289.940918
13;1706201403.309532162;1569.826050;2543.756104;193.675003;4307.257324
14;1706201403.329591582;1537.112061;2543.220947;190.065002;4270.397949
15;1706201403.349651093;1562.385986;2538.782959;190.417007;4291.585938
16;1706201403.369709654;1572.858032;2543.708008;193.722000;4310.288086
17;1706201403.389768555;1528.932983;2539.564941;189.511993;4258.009766
18;1706201403.409827795;1552.334961;2540.577881;188.302002;4281.214844
19;1706201403.429886126;1557.394043;2538.037109;189.464996;4284.896484
20;1706201403.449944677;1569.048950;2537.970947;188.332001;4295.352051
21;1706201403.470003207;1538.964966;2539.564941;189.481995;4268.011719
22;1706201403.490062238;1551.003052;2544.438965;192.776993;4288.219238
23;1706201403.510113508;1567.391968;2539.631104;190.063995;4297.086914
24;1706201403.530172309;1532.326050;2538.037109;189.141998;4259.505371
25;1706201403.550231540;1546.385986;2538.813965;189.496002;4274.696289
26;1706201403.570290540;1565.904053;2538.915039;189.542999;4294.362305
27;1706201403.590348891;1583.218018;2536.093018;187.007996;4306.319336
28;1706201403.610407892;1533.556030;2539.613037;189.464996;4262.634277
29;1706201403.630466662;1552.317993;2537.172119;190.427002;4279.916992
30;1706201403.650525833;1572.677979;2543.773926;192.824005;4309.275879
31;1706201403.670584664;1544.211060;2543.873047;194.556000;4282.640137
32;1706201403.690643214;1556.810059;2543.708008;194.511002;4295.029297
33;1706201403.710702755;1560.150024;2544.654053;195.802002;4300.605957
34;1706201403.730761176;1569.241943;2541.357910;189.244995;4299.844727
35;1706201403.750819537;1533.703003;2548.114014;192.414001;4274.230957
36;1706201403.770878357;1563.505981;2542.060059;193.658005;4299.224121
37;1706201403.790937188;1579.291992;2542.957031;189.464996;4311.713867
38;1706201403.810996599;1550.214966;2534.631104;191.559006;4276.405273
39;1706201403.831055519;1545.375000;2538.915039;189.559998;4273.850098
40;1706201403.851114600;1553.465942;2540.460938;189.496002;4283.422852
41;1706201403.871173031;1571.765991;2541.260986;190.393005;4303.419922
42;1706201403.891232332;1556.625977;2542.113037;193.626999;4292.366211
43;1706201403.911291242;1566.448975;2540.444092;190.363998;4297.256836
44;1706201403.931349953;1567.391968;2541.326904;188.315994;4297.034668
45;1706201403.951408894;1528.767944;2538.700928;189.167007;4256.635742
46;1706201403.971468635;1555.751953;2538.635010;189.167007;4283.553711
47;1706201403.991527205;1570.522949;2542.842041;192.791000;4306.156250
48;1706201404.011586436;1531.319946;2543.788086;191.658997;4266.767090
49;1706201404.031645757;1551.864990;2541.273926;189.542999;4282.681641
50;1706201404.051716229;1564.026001;2539.631104;189.464996;4293.122070
51;1706201404.071782230;1797.267944;2540.479004;190.363007;4528.109863
52;1706201404.091847531;1766.816040;2544.622070;192.807007;4504.245117
53;1706201404.111911102;1784.368042;2540.608887;191.292007;4516.269043
54;1706201404.131976934;1771.547974;2539.662109;191.292007;4502.501953
55;1706201404.152043285;1761.290039;2541.544922;188.332001;4491.166992
56;1706201404.172117897;1747.192017;2548.592041;191.617996;4487.401855
57;1706201404.192182379;1752.124023;2536.277100;189.511993;4477.913086
58;1706201404.212245170;1753.430054;2540.413086;190.363007;4484.206055
59;1706201404.232334203;1832.088013;2542.208984;189.511993;4563.809082
60;1706201404.252419397;1858.953979;2541.326904;189.511993;4589.792969
61;1706201404.272501610;1874.140015;2541.260986;189.182999;4604.583984
62;1706201404.292562241;1735.479004;2541.260986;189.481995;4466.221680
63;1706201404.312623131;1741.354980;2543.773926;192.414001;4477.542969
64;1706201404.332683322;1754.454956;2541.456055;191.292007;4487.203125
65;1706201404.352742823;1772.644043;2541.326904;189.511993;4503.482910
66;1706201404.372842978;1875.223022;2538.782959;189.529007;4603.535156
67;1706201404.392944043;1897.727051;2540.644043;189.481995;4627.853027
68;1706201404.413033646;1871.144043;2543.804932;190.315002;4605.263672
69;1706201404.433114519;1723.468018;2544.604004;193.722000;4461.793945
70;1706201404.453210343;1891.484009;2544.654053;193.753998;4629.892090
71;1706201404.473308658;1898.744019;2541.309082;191.322006;4631.375000
72;1706201404.493396701;1881.774048;2541.326904;188.302002;4611.402832
73;1706201404.513470254;2089.260986;2542.926025;193.705002;4825.892090
74;1706201404.533532795;1746.305054;2537.189941;190.363007;4473.857910
75;1706201404.553628259;1882.490967;2541.077881;189.481995;4613.050781
76;1706201404.573723553;1872.623047;2541.425049;190.410004;4604.458008
77;1706201404.593820117;1913.095947;2538.818115;191.285004;4643.199219
78;1706201404.613911011;1948.166016;2543.440918;193.658005;4685.264648
79;1706201404.633984743;1810.128052;2544.622070;194.507996;4549.258301
80;1706201404.654048975;1730.223999;2975.092041;189.511993;4894.828125
81;1706201404.674133938;2127.540039;3093.383057;189.511993;5410.435059
82;1706201404.694193319;2174.139893;3131.562012;189.214005;5494.916016
83;1706201404.714252279;2114.129883;3166.448975;190.410004;5470.988770
84;1706201404.734311130;2074.336914;3002.743896;187.115005;5264.195801
85;1706201404.754369911;2102.881104;3085.677002;189.167007;5377.725098
86;1706201404.774429322;2071.310059;3107.229980;190.410004;5368.950195
87;1706201404.794488722;2152.782959;3002.648926;190.410004;5345.841797
